#ENGLISH;HANHUA;x
#nick_wenzong;文宗;x
#nick_wuzong;武宗;x

b_quzhou13735;曲周;x
b_qiuxian13736;邱县;x
b_jize13737;鸡泽;x
b_shoushansi13738;寿山寺;x
k_shanxi14; 晋 ;x
d_datong141;大同;x
c_datong1411;大同;x
b_datong14111;大同;x
b_yanggao14112;阳高;x
b_tianzhen14113;天镇;x
b_xinrong14114;新荣;x
b_zuoyun14115;左云;x
b_nanjiao14116;南郊;x
b_kuangqu14117;矿区;x
b_gucheng14118;古城;x
c_guangling1412;广灵;x
b_guangling14121;广灵;x
b_qianfoling14122;千佛岭;x
b_hunyuan14123;浑源;x
b_lingqiu14124;灵丘;x
b_yixing14125;宜兴;x
b_zhoabei14126;赵北;x
b_wanghu14127;望狐;x
b_huanghuatan14128;黄花滩;x
c_yingxian1413;应县;x
b_yingxian14131;应县;x
b_xiashe14132;下社;x
b_huairen14133;怀仁;x
b_shanyin14134;山阴;x
b_jinshatan14135;金沙滩;x
b_yujing14136;玉井;x
b_yijing14137;义井;x
b_anrong14138;安荣;x
c_shuozhou1414;朔州;x
b_shuozhou14141;朔州;x
b_shentou14142;神头;x
b_youyu14143;右玉;x
b_pinglu14144;平鲁;x
b_fenghuang14145;凤凰;x
b_weiyuan14146;威远;x
b_limin14127;利民;x
b_youwei14128;右卫;x
c_hequ1415;河曲;x
b_hequ14151;河曲;x
b_shenchi14152;神池;x
b_baode14153;保德;x
b_pianguan14154;偏关;x
b_wuzhai14155;五寨;x
b_kelan14156;岢岚;x
b_ningwu14157;宁武;x
b_lugu14158;鹿谷;x
c_xinzhou1416;忻州;x
b_xinzhou14161;忻州;x
b_dingxiang14162;定襄;x
b_yuanping14163;原平;x
b_jingle14164;静乐;x
b_dongshe14165;东社;x
b_qincheng14166;秦城;x
b_shenshan14167;神山;x
b_xinfu14168;忻府;x
c_daizhou1417;代州;x
b_daizhou14171;代州;x
b_yanmenguan14172;雁门关;x
b_fanzhi14173;繁峙;x
b_zaolin14174;枣林;x
b_jianan14175;建安;x
b_dongshan14176;东山;x
b_hengjian14177;横涧;x
b_taihuai14178;台怀;x
d_taiyuan142;太原;x
c_lanxian1421;岚县;x
b_lanxian14211;岚县;x
b_qingliangsi14212;清凉寺;x
b_linxian14213;临县;x
b_xingxian14214;兴县;x
b_fangshan14215;方山;x
b_zhaoxian14216;招贤;x
b_kangning14217;康宁;x
b_puming14218;普明;x
c_lishi1422;离石;x
b_lishi14221;离石;x
b_jiaokou14222;交口;x
b_shilou14223;石楼;x
b_zhongyang14224;中阳;x
b_liulin14225;柳林;x
b_xinyi14226;信义;x
b_jinluo14227;金罗;x
b_wucheng14228;吴城;x
c_fenyang1423;汾阳;x
b_fenyang14231;汾阳;x
b_xiaoyi14232;孝义;x
b_wenshui14233;文水;x
b_jiaocheng14234;交城;x
b_xinghuacun14235;杏花村;x
b_xishe14236;西社;x
b_gaoyang14237;高阳;x
b_nanan14238;南安;x
c_pingyao1424;平遥;x
b_pingyao14241;平遥;x
b_qixian14242;祁县;x
b_jiexiu14243;介休;x
b_lingshi14244;灵石;x
b_xiamen14245;夏门;x
b_longfeng14246;龙凤;x
b_hongshan14227;洪善;x
b_laiyuan14228;来远;x
c_taiyuan1425;太原;x
b_taiyuan14251;太原;x
b_xinghualing14252;杏花岭;x
b_qingxu14253;清徐;x
