#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_wenzong;Wenzong;;;;;;;;;x
nick_wuzong;Wuzong;;;;;;;;;x
nick_zhaozong;Zhaozong;;;;;;;;;x	#昭宗 - 
nick_xuanzong2;Xuanzong the Illustrious;;;;;;;;;x	#宣宗 - the Illustrious
nick_huanzong;Huanzong;;;;;;;;;x	#桓宗
nick_mingzong;Mingzong;;;;;;;;;x	#明宗 - the Illuminated
nick_zhangzong;Zhangzong;;;;;;;;;x	#章宗 - 
nick_xingzong;Xingzong;;;;;;;;;x	#兴宗 - the Prosperous
nick_shenzong;Shenzong;;;;;;;;;x	#神宗 - the Holy
nick_gaozong;Gaozong;;;;;;;;;x	#高宗 - the Supreme
nick_zhongzong;Zhongzong;;;;;;;;;x	#中宗 - 
nick_renzong;Renzong;;;;;;;;;x	#仁宗 - the Benevolent
nick_xiaozong;Xiaozong;;;;;;;;;x	#孝宗 - the Filial
nick_shizong;Shizong;;;;;;;;;x	#世宗
nick_chengzong;Chengzong;;;;;;;;;x	#成宗 - the Accomplished
nick_kangzong;Kangzong;;;;;;;;;x	#康宗
nick_xianzong2;Xianzong the Principled;;;;;;;;;x	#宪宗 - the Principled
nick_shengzong;Shengzong;;;;;;;;;x	#圣宗 - the Glorious
nick_dingzong;Dingzong;;;;;;;;;x	#定宗
nick_weizong;Weizong;;;;;;;;;x	#威宗
nick_taizong;Taizong;;;;;;;;;x 	#太宗
nick_xingzu;Xingzu;;;;;;;;;x		#兴祖
nick_liezu;Liezu;;;;;;;;;x		#烈祖
nick_huanzu;Huanzu;;;;;;;;;x    #桓祖
nick_shengzu;Shengzu;;;;;;;;;x	#圣祖 - the Magnificent
nick_shizu;Shizu;;;;;;;;;x	#世祖
nick_chengzu;Chengzu;;;;;;;;;x	#成祖
nick_xuanzu;Xuanzu;;;;;;;;;x	#宣祖
nick_zhenzong;Zhenzong;;;;;;;;;x	#真宗 - the Honest
nick_yingzong;Yingzong;;;;;;;;;x	#英宗 - 
nick_zhezhong;Zhezong;;;;;;;;;x	#哲宗 - 
nick_suzong;Suzong;;;;;;;;;x	#肃宗 
nick_daizong;Daizong;;;;;;;;;x	#代宗
nick_ningzong;Ningzong;;;;;;;;;x	#宁宗
nick_duanzong;Duanzong;;;;;;;;;x	#端宗
nick_pingzong;Pingzong;;;;;;;;;x	#平宗
nick_anzong;Anzong;;;;;;;;;x		#安宗
nick_jianzong;Jianzong;;;;;;;;;x   #简宗
nick_xiangzong;Xianzong;;;;;;;;;x	#襄宗
nick_ruizong;Ruizong;;;;;;;;;x	#睿宗
nick_taizu;Taizu;;;;;;;;;x		#太祖
nick_gaozu;Gaozu;;;;;;;;;x		#高祖
nick_guangzong;Guangzong;;;;;;;;;x	#光宗
nick_huizong;Huizong;;;;;;;;;x	#徽宗
nick_qinzong;Qinzong;;;;;;;;;x	#钦宗
nick_lizong;Lizong;;;;;;;;;x		#理宗
nick_duzong;Duzong;;;;;;;;;x		#度宗
nick_yizong;Yizong;;;;;;;;;x	#毅宗
nick_muzong;Muzong;;;;;;;;;x	#穆宗
nick_chongzong;Chongzong;;;;;;;;;x	#崇宗
nick_daozong;Daozong the "Good";;;;;;;;;x	#道宗 - 
nick_xianzong;Xianzong the Giving;;;;;;;;;x	#献宗
nick_dezong;Dezong;;;;;;;;;x		#德宗
nick_shunzong;Shunzong;;;;;;;;;x	#顺宗
nick_jingzong;Jingzong the Honoured;;;;;;;;;x	#敬宗
nick_liezong;Liezong;;;;;;;;;x	#烈宗
nick_daozong2;Daozong the Desired;;;;;;;;;x	#悼宗
nick_sizong;Sizong;;;;;;;;;x		#思宗
nick_yangdi;Yangdi;;;;;;;;;x		#炀帝
nick_zhidi;Zhidi;;;;;;;;;x	#质帝
nick_chongdi;Chongdo;;;;;;;;;x	#冲帝
nick_shaodi;Shaodi;;;;;;;;;x		#少帝
nick_gongdi;Gongdi;;;;;;;;;x		#恭帝
nick_aizong;Aizong;;;;;;;;;x	#哀宗
nick_xuanzong;Xuanzong the Superstitious;;;;;;;;;x	#玄宗
nick_xizong;Xizong;;;;;;;;;x		#僖宗
nick_shangzong;Shangzong;;;;;;;;;x	#殇宗
nick_feidi;Feidi;;;;;;;;;x			#废帝

GIVETEMPLENAME;Legacy of Your Predecessor;;;;;;;;;x
GIVETEMPLENAMENOTSAME;Remnants of the Previous Dynasty;;;;;;;;;x
GIVETEMPLENAMEFINISHED;The Ritual of "Tiao";;;;;;;;;x

#Initial Menu
